未经 critic 评审 —— r76 固定 G 表(拆效应 A / 效应 B)  [L2/宿主仿真]  预注册 = PREREG_r76.txt
臂 N 单臂:NHS 自选 / duck 不消融 / prefer_unnotched=False / T_low=−45 / T_low_gr=-65 / T_panic=-6
工作点:cal_offset_db=0.0 / T_OBS=6s / bw_oct=1/5 / f_cut=8000 / frame=64 / 8 槽全空 / G 钉死在 anchor+[0.0, 1.0, 2.0, 4.0]
⛔ G 固定 ⇒ 本表【不含】ΔMSG(ΔMSG 是扫描终点量,固定 G 下无定义)

   ΔG  T60  sd   src  N1_cand  N2_lvl      过门率    挂陷   top1  PANIC   lp_rms    起振
   +1  0.5   0   -60     6000      97    1.62%     1  False      0   -47.84 False
   +1  0.5   0   -50     6000      98    1.63%     1  False      0   -45.70 False
   +1  0.5   0   -40     6000     960   16.00%     2   True      0   -39.08 False
   +1  0.5   0   -30     6000     816   13.60%     2   True      0   -29.49 False
   +1  0.5   0   -20     6000    5976   99.60%     2   True      0   -19.49 False
   +1  0.5   0   -10     6000    5986   99.77%     2   True      0    -9.49 False

   +2  0.5   0   -60     6000     101    1.68%     1  False      0   -40.40 False
   +2  0.5   0   -50     6000     102    1.70%     1  False      0   -39.69 False
   +2  0.5   0   -40     6000     611   10.18%     1  False      0   -36.92 False
   +2  0.5   0   -30     6000     936   15.60%     1  False      0   -28.71 False
   +2  0.5   0   -20     6000    5976   99.60%     1  False      0   -18.71 False
   +2  0.5   0   -10     6000    5986   99.77%     1  False     12    -9.10 False

   +4  0.5   0   -60     6000     487    8.12%     1  False     18   -16.72 False
   +4  0.5   0   -50     6000     570    9.50%     1  False     19   -16.69 False
   +4  0.5   0   -40     6000     959   15.98%     1  False     19   -16.10 False
   +4  0.5   0   -30     6000    1331   22.18%     1  False     31   -13.53 False
   +4  0.5   0   -20     6000    5977   99.62%     2  False     24   -13.69 False
   +4  0.5   0   -10     6000    5986   99.77%     4   True     26    -8.09 False

   +0  0.5   1   -60     6000       0    0.00%     0  False      0   -59.65 False
   +0  0.5   1   -50     6000       0    0.00%     0  False      0   -49.65 False
   +0  0.5   1   -40     6000       0    0.00%     0  False      0   -39.65 False
   +0  0.5   1   -30     6000      98    1.63%     0  False      0   -29.65 False
   +0  0.5   1   -20     6000    5972   99.53%     0  False      0   -19.65 False
   +0  0.5   1   -10     6000    5985   99.75%     0  False      0    -9.65 False

   +1  0.5   1   -60     6000      99    1.65%     1   True      0   -40.00 False
   +1  0.5   1   -50     6000      94    1.57%     1  False      0   -39.79 False
   +1  0.5   1   -40     6000     208    3.47%     2   True      0   -38.28 False
   +1  0.5   1   -30     6000     235    3.92%     2   True      0   -29.28 False
   +1  0.5   1   -20     6000    5972   99.53%     2   True      0   -19.28 False
   +1  0.5   1   -10     6000    5985   99.75%     2   True      0    -9.28 False

   +2  0.5   1   -60     6000     101    1.68%     1  False      0   -34.15 False
   +2  0.5   1   -50     6000     105    1.75%     2   True      0   -34.43 False
   +2  0.5   1   -40     6000     234    3.90%     2   True      0   -33.72 False
   +2  0.5   1   -30     6000     265    4.42%     2   True      0   -28.28 False
   +2  0.5   1   -20     6000    5973   99.55%     2   True      0   -18.28 False
   +2  0.5   1   -10     6000    5985   99.75%     2   True      8    -8.68 False

   +4  0.5   1   -60     6000     334    5.57%     2  False     20   -10.75 False
   +4  0.5   1   -50     6000     376    6.27%     2  False     19   -11.02 False
   +4  0.5   1   -40     3525    2304   65.36%     2  False    465   362.21  True
   +4  0.5   1   -30     6000    2667   44.45%     4  False    151    92.45  True
   +4  0.5   1   -20     6000    5974   99.57%     4  False    170   102.45  True
   +4  0.5   1   -10     5209    5194   99.71%     1  False    287   304.47  True

   +0  0.5   2   -60     6000       0    0.00%     0  False      0   -59.38 False
   +0  0.5   2   -50     6000       0    0.00%     0  False      0   -49.38 False
   +0  0.5   2   -40     6000       0    0.00%     0  False      0   -39.38 False
   +0  0.5   2   -30     6000     479    7.98%     1   True      0   -29.44 False
   +0  0.5   2   -20     6000    5975   99.58%     1   True      0   -19.44 False
   +0  0.5   2   -10     6000    5985   99.75%     1   True      0    -9.44 False

   +1  0.5   2   -60     6000     144    2.40%     2  False      0   -42.87 False
   +1  0.5   2   -50     6000     143    2.38%     3   True      0   -43.76 False
   +1  0.5   2   -40     6000    1484   24.73%     3   True      0   -38.85 False
   +1  0.5   2   -30     6000    1277   21.28%     2   True      0   -29.52 False
   +1  0.5   2   -20     6000    5975   99.58%     2   True      0   -19.52 False
   +1  0.5   2   -10     6000    5985   99.75%     2   True      0    -9.52 False

   +2  0.5   2   -60     6000     201    3.35%     2   True      0   -34.00 False
   +2  0.5   2   -50     6000     229    3.82%     1  False      0   -32.94 False
   +2  0.5   2   -40     6000     910   15.17%     1  False      0   -32.06 False
   +2  0.5   2   -30     6000    2232   37.20%     5   True      0   -27.30 False
   +2  0.5   2   -20     6000    5975   99.58%     5   True      0   -17.30 False
   +2  0.5   2   -10     6000    5985   99.75%     2   True      6    -8.89 False

   +4  0.5   2   -60     3420    2319   67.81%     1  False    400   502.69  True
   +4  0.5   2   -50     5981    2127   35.56%     3   True    237   121.06  True
   +4  0.5   2   -40     6000    2289   38.15%     5   True     44     1.34  True
   +4  0.5   2   -30     6000    3064   51.07%     6   True      0   -26.16 False
   +4  0.5   2   -20     6000    5977   99.62%     6   True      0   -16.16 False
   +4  0.5   2   -10     6000    5985   99.75%     3   True     32    -8.08 False

==============================================================================================================
§F 单调性机械检查(Hr2:固定 G 下过门率随源电平**单调不减**;⛔ 判读文字由人在看到数之后写)
==============================================================================================================
  ΔG=+0 T60=0.2 sd=0: N2_lvl 逐档 [(-60.0, 0), (-50.0, 0), (-40.0, 68), (-30.0, 423), (-20.0, 5977), (-10.0, 5986)]   ✅单调不减
  ΔG=+0 T60=0.2 sd=1: N2_lvl 逐档 [(-60.0, 0), (-50.0, 0), (-40.0, 455), (-30.0, 613), (-20.0, 5975), (-10.0, 5985)]   ✅单调不减
  ΔG=+0 T60=0.2 sd=2: N2_lvl 逐档 [(-60.0, 0), (-50.0, 0), (-40.0, 598), (-30.0, 692), (-20.0, 5975), (-10.0, 5985)]   ✅单调不减
